타임스탬프,성별,대학교,전공,학년,통학시간,공강유무,평균공강시간,뭐하는지,어디가는지,얼마나가는지,누구와가는지,충분한지,뭘하고싶은지
8-31-2024 2:19:17,F,세종대 ,법학,4,10분 미만,O,1시간 미만,"대화, 식사","동아리방, 도서관",3~5회,친구,충분하지 않다.,수다
8-31-2024 2:25:15,F,광운대,전자,4,10분 미만,O,1~3시간,"식사, 친구들이링 놀기","라운지, 자취방",5회 이상,친구,충분하지 않다.,수다
8-31-2024 3:23:03,F,숙명여대,의류학,4,1시간 이상 - 2시간 미만,O,1~3시간,"과제/공부, 식사",라운지,3~5회,혼자,충분하다.,잠
8-31-2024 4:09:49,F,아주대,건축학과,4,10분 이상 - 30분 미만,O,3~5시간,대화,카페,1~2회,친구,충분하다.,잠
8-31-2024 4:37:20,M,건국대,화공,4,10분 미만,O,1시간 미만,"과제/공부, 잠",집,5회 이상,친구,충분하지 않다.,식사
8-31-2024 5:01:50,F,홍익대,디자인컨버전스학부,4,10분 이상 - 30분 미만,O,1~3시간,"잠, 식사","라운지, 집",1~2회,혼자,충분하지 않다.,독서 / 도서관이 넘 구석에 있어서 가기 힘들어요 ㅜㅜ
8-31-2024 5:15:33,M,상명대,커뮤니케이션,3,10분 미만,O,5시간 이상,"과제/공부, 잠","카페, 라운지",1~2회,혼자,충분하지 않다.,수다
8-31-2024 6:39:22,F,한남대,영문,4,10분 미만,O,5시간 이상,과제/공부,기숙사,5회 이상,혼자,충분하다.,잠
8-31-2024 7:30:29,M,한남대,경영학,2,10분 이상 - 30분 미만,X,0,0,0,0,0,충분하다.,과제
8-31-2024 8:35:27,M,충남도립대,전기전자공학,2,10분 이상 - 30분 미만,O,1~3시간,"대화, 여가","카페, 교내 기숙사",5회 이상,친구,충분하다.,수다
8-31-2024 8:45:41,F,연세대,국어교육,대학원,2시간 이상,X,0,0,0,0,0,충분하다.,잠
8-31-2024 8:48:36,F,숙명여대,경제학부,졸업,30분 이상 - 1시간 미만,O,1시간 미만,"잠, 식사","과방/과실, 도서관",3~5회,친구,충분하다.,수다
8-31-2024 9:51:38,F,성균관대,사학,졸업,1시간 이상 - 2시간 미만,O,1~3시간,"대화, 식사","카페, 과방/과실",3~5회,친구,충분하지 않다.,잠
8-31-2024 9:51:57,F,서강대,영미어문,4,10분 이상 - 30분 미만,O,1~3시간,"과제/공부, 대화",카페,3~5회,친구,충분하다.,수다
8-31-2024 9:58:15,F,서울대,국사학,대학원,10분 이상 - 30분 미만,O,1~3시간,"대화, 식사","과방/과실, 라운지",3~5회,친구,충분하지 않다.,식사
8-31-2024 10:17:53,M,국민대,회계학,3,10분 이상 - 30분 미만,X,0,0,0,0,0,충분하다.,잠
8-31-2024 10:24:55,F,혜전대,작업치료과,졸업,10분 이상 - 30분 미만,O,1~3시간,"잠, 식사",카페,3~5회,친구,충분하지 않다.,잠
8-31-2024 10:57:42,F,혜전대,작업치료과,졸업,2시간 이상,O,1시간 미만,잠,"카페, 과방/과실",3~5회,친구,충분하다.,과제
8-31-2024 11:01:36,F,이화여대,경영학부,4,1시간 이상 - 2시간 미만,O,1~3시간,"대화, 식사",라운지,3~5회,친구,충분하지 않다.,과제
8-31-2024 11:50:57,F,세종대,음악과,4,30분 이상 - 1시간 미만,O,1~3시간,"잠, 식사","카페, 과방/과실",3~5회,친구,충분하지 않다.,잠
8-31-2024 11:54:20,M,명지대,산업겅영공학과,졸업,1시간 이상 - 2시간 미만,O,1~3시간,"대화, 식사","과방/과실, 라운지",3~5회,친구,충분하다.,잠
8-31-2024 12:03:54,M,순천향대,환경보건학과,졸업,30분 이상 - 1시간 미만,O,1~3시간,"과제/공부, 대화","도서관, 친구 방",3~5회,친구,충분하다.,잠
8-31-2024 12:05:03,M,국민대,국제경영,4,1시간 이상 - 2시간 미만,X,0,0,0,0,0,충분하지 않다.,"잠, 식사"
8-31-2024 12:05:42,F,홍익대,산업데이터공학과,3,10분 이상 - 30분 미만,O,1~3시간,"대화, 식사",카페,1~2회,친구,충분하지 않다.,수다
8-31-2024 12:14:25,F,국민대,자동차공학,대학원,10분 이상 - 30분 미만,X,0,0,0,0,0,충분하지 않다.,휴식
8-31-2024 12:14:53,M,국민대,자동차IT융합,대학원,30분 이상 - 1시간 미만,O,1~3시간,"대화, 산책","동아리방, 라운지",5회 이상,친구,충분하지 않다.,잠
8-31-2024 12:15:39,F,한국예술종합,연기 전공,3,10분 미만,X,0,0,0,0,0,충분하지 않다.,잠
8-31-2024 12:23:29,M,한국외국어대,전자물리학과,졸업,2시간 이상,O,1~3시간,"대화, 식사","카페, 라운지",3~5회,친구,충분하다.,수다
8-31-2024 12:24:25,F,대진대,스포츠건강과학과,4,1시간 이상 - 2시간 미만,O,1~3시간,"대화, 식사","카페, 라운지",3~5회,혼자,충분하지 않다.,식사
8-31-2024 12:24:33,F,홍익대,산업공학과,졸업,30분 이상 - 1시간 미만,O,1~3시간,"과제/공부, 식사",카페,3~5회,혼자,충분하지 않다.,잠
8-31-2024 12:26:18,M,서강대,커뮤니케이션,졸업,10분 이상 - 30분 미만,O,1~3시간,"과제/공부, 식사","동아리방, 과방/과실",3~5회,친구,충분하지 않다.,잠
8-31-2024 12:29:47,M,백석예술대,실용음악과 보컬파트 ,졸업,1시간 이상 - 2시간 미만,O,1~3시간,잠,카페,5회 이상,혼자,충분하다.,잠
8-31-2024 12:30:40,F,용인대,스포츠레저,3,2시간 이상,O,1시간 미만,"대화, 식사",카페,1~2회,친구,충분하지 않다.,수다
8-31-2024 12:30:41,M,성균관대 ,에너지학과,1,10분 미만,X,0,0,0,0,0,충분하다.,잠
8-31-2024 12:33:07,F,대진대,스포츠건강과학과,4,1시간 이상 - 2시간 미만,O,1~3시간,"잠, 식사","카페, 라운지",1~2회,친구,충분하지 않다.,과제
8-31-2024 12:34:23,F,대진대,스포츠건강과학과,4,30분 이상 - 1시간 미만,O,1시간 미만,과제/공부,"카페, 라운지",1~2회,친구,충분하지 않다.,과제
8-31-2024 12:37:15,M,건국대,체육교육과,졸업,10분 이상 - 30분 미만,O,1~3시간,"과제/공부, 식사","카페, Pc방",3~5회,친구,충분하지 않다.,잠
8-31-2024 12:38:05,F,서울과학기술대,금속공예디자인학과,대학원,30분 이상 - 1시간 미만,O,5시간 이상,"과제/공부, 과사 근로, 드로잉","카페, 학과사무실",3~5회,혼자,충분하지 않다.,과제
8-31-2024 12:51:31,M,국민대,자동차공학과,졸업,10분 이상 - 30분 미만,O,1~3시간,대화,"과방/과실, 도서관",5회 이상,친구,충분하지 않다.,수다
8-31-2024 12:53:10,M,국민대,기계공학,졸업,10분 이상 - 30분 미만,O,1~3시간,"대화, 식사","카페, 동아리방",5회 이상,친구,충분하지 않다.,수다
8-31-2024 12:54:33,M,부천대,전기과,1,2시간 이상,O,5시간 이상,"잠, 식사",피씨방,3~5회,친구,충분하지 않다.,과제
8-31-2024 12:55:24,F,국민대,소프트웨어전공,졸업,10분 미만,O,1~3시간,"과제/공부, 대화","동아리방, 과방/과실",3~5회,친구,충분하지 않다.,식사
8-31-2024 13:01:45,F,동국대,정보통신공학전공,4,10분 이상 - 30분 미만,X,0,0,0,0,0,충분하다.,잠
8-31-2024 13:05:44,F,가천대,성악,대학원,1시간 이상 - 2시간 미만,O,1시간 미만,"과제/공부, 식사","카페, 라운지",1~2회,혼자,충분하다.,잠
8-31-2024 13:08:10,M,국민대,기계시스템공학,졸업,1시간 이상 - 2시간 미만,O,1~3시간,"대화, 운동","카페, 동아리방",3~5회,친구,충분하지 않다.,수다
8-31-2024 13:14:30,M,서울대,농생명공학부,대학원,1시간 이상 - 2시간 미만,X,0,0,0,0,0,충분하지 않다.,잠
8-31-2024 13:15:52,F,부산대,간호학과,1,2시간 이상,O,3~5시간,"잠, 식사","카페, 도서관",3~5회,친구,충분하다.,잠
8-31-2024 13:21:10,F,동원대,소방,졸업,2시간 이상,O,1시간 미만,업무,과방/과실,3~5회,혼자,충분하다.,잠
8-31-2024 13:22:20,F,국민대,소프트웨어전공,졸업,1시간 이상 - 2시간 미만,O,3~5시간,"과제/공부, 식사","동아리방, 라운지",3~5회,혼자,충분하다.,과제
8-31-2024 13:33:19,M,국민대,자동차공학과,대학원,10분 이상 - 30분 미만,O,1~3시간,"대화, 식사","카페, 라운지",3~5회,친구,충분하지 않다.,잔디밭 누워있기
8-31-2024 13:39:07,F,서울대,미학과,4,30분 이상 - 1시간 미만,O,1시간 미만,"과제/공부, 식사","카페, 라운지",3~5회,혼자,충분하지 않다.,잠
8-31-2024 13:43:46,M,국민대,국제경영,3,2시간 이상,O,1~3시간,대화,라운지,3~5회,친구,충분하다.,수다
8-31-2024 14:42:19,M,인하공업전문대,토목환경과,졸업,1시간 이상 - 2시간 미만,O,1~3시간,"잠, 식사","카페, 도서관",5회 이상,혼자,충분하다.,잠
8-31-2024 14:50:12,M,0,0,졸업,10분 미만,O,1~3시간,"과제/공부, 대화","카페, 라운지",3~5회,혼자,충분하다.,잠
8-31-2024 14:53:07,M,명지대,디자인학부,졸업,30분 이상 - 1시간 미만,O,1~3시간,"과제/공부, 대화","카페, 과방/과실",5회 이상,친구,충분하지 않다.,잠
8-31-2024 15:04:57,F,폴리텍,산업디자인,졸업,1시간 이상 - 2시간 미만,O,1~3시간,"잠, 식사",카페,3~5회,혼자,충분하지 않다.,과제
8-31-2024 15:26:17,M,국민대,사회학,졸업,30분 이상 - 1시간 미만,X,0,0,0,0,0,충분하지 않다.,수다
8-31-2024 15:39:37,F,상명대,글로벌경영학과,3,1시간 이상 - 2시간 미만,O,1~3시간,대화,"카페, 라운지",3~5회,친구,충분하지 않다.,잠
8-31-2024 15:57:36,F,홍익대,디자인컨버전스학부,3,10분 미만,X,0,0,0,0,0,충분하다.,잠
8-31-2024 16:04:50,M,명지대,디자인학부 산업디자인 전공,졸업,10분 미만,O,1~3시간,잠,"카페, 과방/과실",5회 이상,친구,충분하지 않다.,잠
8-31-2024 16:05:01,M,명지대,산업디자인학과,1,1시간 이상 - 2시간 미만,O,1~3시간,"과제/공부, 식사","동아리방, 과방/과실",5회 이상,친구,충분하다.,잠
8-31-2024 16:14:59,F,명지대,산업디자인과,1,10분 미만,O,1~3시간,"과제/공부, 식사","과방/과실, 도서관",5회 이상,친구,충분하지 않다.,잠
8-31-2024 16:20:57,F,명지대,산업디자인과,1,10분 미만,O,1~3시간,"과제/공부, 식사","과방/과실, 라운지",3~5회,친구,충분하지 않다.,식사
8-31-2024 16:34:56,F,홍익대,기계시스템디자인공학과,대학원,1시간 이상 - 2시간 미만,O,1~3시간,식사,"카페, 도서관",1~2회,친구,충분하지 않다.,잠
8-31-2024 16:35:16,M,홍익대,기계시스템디자인공학과,3,10분 이상 - 30분 미만,O,1~3시간,근로,랩실,3~5회,혼자,충분하지 않다.,과제
8-31-2024 16:35:36,M,홍익대,기계시스템디자인공학과,졸업,1시간 이상 - 2시간 미만,O,1~3시간,"식사, 당구 또는 멍때리기","동아리방, 당구장",3~5회,친구,충분하지 않다.,잠
8-31-2024 16:37:55,M,명지대,산업디자인,졸업,2시간 이상,O,1~3시간,대화,과방/과실,5회 이상,친구,충분하다.,수다
8-31-2024 16:41:05,M,명지대,산업디자인,4,10분 미만,O,1~3시간,"대화, 식사",과방/과실,5회 이상,친구,충분하다.,수다
8-31-2024 16:44:55,F,서울대,시각디자인과,2,10분 이상 - 30분 미만,X,0,0,0,0,0,충분하다.,잠
8-31-2024 16:45:34,F,명지대,산업디자인,4,10분 이상 - 30분 미만,O,1시간 미만,식사,"과방/과실, 라운지",1~2회,혼자,충분하지 않다.,과제
8-31-2024 16:45:43,F,서울기독대,운동건강관리학과,졸업,30분 이상 - 1시간 미만,O,1~3시간,식사,과방/과실,1~2회,친구,충분하지 않다.,식사
8-31-2024 16:46:43,F,건국대,화학공학,졸업,1시간 이상 - 2시간 미만,O,1~3시간,"과제/공부, 식사","도서관, 라운지",1~2회,친구,충분하다.,과제
8-31-2024 16:51:27,F,혜전대,작업치료,졸업,10분 미만,O,1시간 미만,"과제/공부, 대화","과방/과실, 라운지",1~2회,친구,충분하지 않다.,수다
8-31-2024 16:52:46,F,국민대,KIBS,졸업,1시간 이상 - 2시간 미만,O,1~3시간,"대화, 식사","카페, 과방/과실",5회 이상,친구,충분하다.,잠
8-31-2024 16:55:46,F,단국대,식량생명공학,졸업,10분 이상 - 30분 미만,O,1~3시간,식사,라운지,3~5회,친구,충분하다.,잠
8-31-2024 17:01:04,M,홍익대,실내건축학과,4,30분 이상 - 1시간 미만,O,1~3시간,과제/공부,카페,3~5회,혼자,충분하지 않다.,잠
8-31-2024 17:04:41,F,이화여대,화공신소재공학과,1,1시간 이상 - 2시간 미만,O,1~3시간,"대화, 식사","카페, 라운지",3~5회,친구,충분하다.,과제
8-31-2024 17:08:09,M,명지대,산업디자인,졸업,2시간 이상,O,1~3시간,"과제/공부, 대화",과방/과실,3~5회,친구,충분하지 않다.,잠
8-31-2024 17:09:39,M,가톨릭대,신학,4,10분 미만,O,3~5시간,"과제/공부, 대화","도서관, 라운지",5회 이상,친구,충분하다.,과제
8-31-2024 17:10:35,M,명지대,문예창작과,3,10분 이상 - 30분 미만,O,1~3시간,"과제/공부, 식사 대화 수면","카페, 빈 교실",1~2회,친구,충분하지 않다.,잠
8-31-2024 17:17:22,F,광운대,전자재료공학과,4,30분 이상 - 1시간 미만,O,1~3시간,과제/공부,카페,1~2회,친구,충분하지 않다.,수다
8-31-2024 17:27:30,M,상명대,글로벌경영,4,30분 이상 - 1시간 미만,O,1~3시간,"대화, 식사","카페, 라운지",1~2회,친구,충분하지 않다.,잠
8-31-2024 17:28:07,F,상명대,글로벌경영학과,졸업,1시간 이상 - 2시간 미만,O,1~3시간,"잠, 식사","카페, 라운지",3~5회,친구,충분하지 않다.,잠
8-31-2024 17:28:41,F,명지대,산업디자인,졸업,1시간 이상 - 2시간 미만,X,0,0,0,0,0,충분하지 않다.,과제
8-31-2024 17:31:41,F,강남대,문화콘텐츠,4,1시간 이상 - 2시간 미만,O,1~3시간,"과제/공부, 식사","카페, 라운지",1~2회,혼자,충분하다.,잠
8-31-2024 17:34:50,M,홍익대,Smart Design Engineering 전공,대학원,1시간 이상 - 2시간 미만,O,1~3시간,"과제/공부, 랩실로 이동",노트북열람실 혹은 점심식사하러,1~2회,혼자,충분하다.,"학사 공지 놓치지않고있는지 공지하는 게시판이 있으면 좋겠어요 기존 공간(열람실, 라운지 등)에다가 큰 스크린을 부착하는 방식으로요. 마치 일종의 ‘오프라인 에타’를 만들어서 학생들에게 학교 공간 안에서도 공지를 놓치는 일이 없도록 하면 좋겠어요."
8-31-2024 17:39:07,M,홍익대,기계,졸업,10분 이상 - 30분 미만,O,1~3시간,"대화, 식사","카페, 라운지",3~5회,혼자,충분하다.,수다
8-31-2024 17:41:18,F,이화여대,화공신소재공학과,1,30분 이상 - 1시간 미만,O,1~3시간,"대화, 식사",라운지,3~5회,친구,충분하다.,과제
8-31-2024 17:48:18,F,연세대,지속개발협력학과/국제경영,4,1시간 이상 - 2시간 미만,O,1~3시간,과외를 합니다....,"카페, 라운지",3~5회,혼자,충분하다.,"복합공간 (나뉘어진 공간은 좀 눈치가 보이는데, 대부분 하나의 목적인 것 같습니다)"
8-31-2024 17:49:10,F,성신여대,AI,2,1시간 이상 - 2시간 미만,O,1~3시간,"대화, 식사","카페, 라운지",3~5회,친구,충분하다.,잠
8-31-2024 17:52:11,F,동국대,산업시스템공학과,졸업,30분 이상 - 1시간 미만,O,1~3시간,"과제/공부, 식사","카페, 도서관",3~5회,혼자,충분하지 않다.,잠
8-31-2024 17:57:20,M,한경국립대,화학공학과,3,10분 미만,O,1시간 미만,대화,"카페, 도서관",1~2회,친구,충분하지 않다.,과제
8-31-2024 17:57:52,M,명지대,산업디자인학과,4,1시간 이상 - 2시간 미만,X,0,0,0,0,0,충분하지 않다.,멍때리는 장소
8-31-2024 17:59:12,M,홍익대,기계시스템디자인공학과,2,10분 이상 - 30분 미만,X,0,0,0,0,0,충분하지 않다.,수다
8-31-2024 17:59:46,M,숭실대,글로벌미디어학부,2,30분 이상 - 1시간 미만,X,0,0,0,0,0,충분하다.,과제
8-31-2024 18:00:30,F,홍익대,디자인컨버전스,4,2시간 이상,X,0,0,0,0,0,충분하지 않다.,잠
8-31-2024 18:03:35,M,경희대,행정학,2,10분 미만,O,1~3시간,"과제/공부, 잠","도서관, 라운지",5회 이상,혼자,충분하지 않다.,잠
